E,px,py,pz,m0
207.01577134,-22.739619728,19.610188972,-105.08656339,175.8143735918172
300.6716732,-10.273530033,-28.727155684,-244.22002493,172.71143446525488
1204.8879029,-0.77878533361,-7.5293863749,-1189.6437756,190.90638429648752
200.04189681,-35.952093614,66.840964665,67.316974916,172.40915803669975
270.06489201,-19.797391619,-121.07981878,168.18413296,172.03744966184632
249.98703548,-61.608362167,58.096732449,159.3010692,173.04874067633276
346.22571774,-53.610894235,3.7441312738,-294.8158982,173.40036705103472
227.94391838,-23.14813445,12.23861494,-146.47248214,172.6806939933084
224.93937,-83.320247224,16.903668778,114.2265603,174.13217819347045
412.92470391,-67.224057523,-28.071564784,-367.80245757,172.97709861525476
211.17220249,-113.29981609,41.59153848,10.360449735,172.97299149464044
212.12855778,-112.01004509,44.026945582,68.590649405,160.6524998301581
180.60391907,21.429755495,47.720970184,12.065787086,172.440328663456
606.06403825,42.488367514,-23.283447214,578.26438251,174.86149402328113
580.60811752,34.061645827,35.01298223,-551.24423687,175.64017993228978
263.34616441,124.89767079,-147.5476184,45.322873743,172.99512004925333
264.19046,-14.477539498,-112.13258669,-162.57637731,174.87768453425264
202.15537959,57.607437525,73.503297231,-26.442460948,177.3308833626139
194.5864592,-14.896329167,-22.849899897,-86.529303664,172.14107924450227
252.27309943,22.504790704,71.039772016,-170.36984315,170.4779118488579
233.05354273,66.057382613,65.493995544,124.62712364,173.57705085127566
669.77643476,27.15911475,8.1338038704,-646.40379993,173.0861742499016
370.12615201,47.052587561,-4.0038489473,323.77414054,173.01357610527438
